QueryID,ResponseID,QueryName,ResponseName,ReleaseDate,Metacritic,RecommendationCount,ScreenshotCount,SteamSpyOwners,AchievementCount, PriceInitial 
270880,270880,American Truck Simulator,American Truck Simulator,Feb 2 2016,76,10397,11,519396,21,19.99
271240,271240,Offworld Trading Company,Offworld Trading Company,Apr 28 2016,79,1639,7,177197,148,39.99
271290,271290,HAWKEN,HAWKEN,Feb 14 2014,73,17673,31,3361011,0,0
271590,271590,Grand Theft Auto V,Grand Theft Auto V,Apr 13 2015,96,136846,24,5886074,69,59.99
271670,271670,10 Second Ninja,10 Second Ninja,Mar 5 2014,72,565,7,61876,30,9.99
271730,271730,Light,Light,Jul 14 2014,49,273,13,60620,13,12.99
272330,272330,Shadow Blade: Reload,Shadow Blade: Reload,Aug 10 2015,70,126,19,12554,37,14.99
272470,272470,The Incredible Adventures of Van Helsing II,The Incredible Adventures of Van Helsing II,Jun 13 2014,77,1527,25,388651,63,14.99
272510,272510,NARUTO SHIPPUDEN: Ultimate Ninja STORM Revolution,NARUTO SHIPPUDEN: Ultimate Ninja STORM Revolution,Sep 15 2014,61,3889,20,307585,50,29.99
272890,272890,Vertiginous Golf,Vertiginous Golf,May 6 2015,63,849,12,404254,45,9.99
273070,273070,The Last Federation,The Last Federation,Apr 18 2014,72,324,20,85908,79,19.99
273350,273350,Evolve Stage 2,Evolve Stage 2,Feb 10 2015,77,35278,11,4904673,0,0
273620,273620,Freespace 2,Freespace 2,Jun 6 2014,91,163,6,27440,0,9.99
274190,274190,Broforce,Broforce,Oct 15 2015,83,16455,20,1035206,17,14.99
274230,274230,RONIN,RONIN,Jun 30 2015,70,1027,6,114604,8,12.99
274250,274250,OlliOlli,OlliOlli,Jul 22 2014,78,696,8,193877,12,12.99
274270,274270,NOT A HERO,NOT A HERO,May 14 2015,75,1116,10,154420,17,12.99
274290,274290,Gods Will Be Watching,Gods Will Be Watching,Jul 24 2014,64,1677,5,253062,35,9.99
274310,274310,Always Sometimes Monsters,Always Sometimes Monsters,May 21 2014,73,1836,6,383091,10,9.99
274350,274350,Dropsy,Dropsy,Sep 10 2015,80,552,12,132360,30,9.99
274480,274480,Drox Operative,Drox Operative,Feb 18 2014,74,185,6,16141,63,19.99
274500,274500,Brigador,Brigador,Jun 2 2016,70,355,10,11299,0,19.99
274880,274880,Jet Car Stunts,Jet Car Stunts,May 1 2014,57,112,5,22239,12,2.99
274940,274940,Depth,Depth,Nov 3 2014,65,12632,12,615348,40,24.99
275100,275100,Shelter 2,Shelter 2,Mar 9 2015,58,1395,21,301666,26,14.99
275180,275180,Costume Quest 2,Costume Quest 2,Oct 7 2014,68,332,5,73175,18,14.99
275390,275390,Guacamelee! Super Turbo Championship Edition,Guacamelee! Super Turbo Championship Edition,Aug 21 2014,80,790,9,154599,30,14.99
