QueryID,ResponseID,ResponseName,Metacritic,RecommendationCount,SteamSpyOwners
8930,8930,Sid Meiers Civilization(r) V,90,85750,9711421
8980,8980,Borderlands,81,15545,3134313
9010,9010,Return to Castle Wolfenstein,88,1533,356188
9050,9050,DOOM 3,87,1645,412863
9200,9200,RAGE,79,8176,1325035
9340,9340,Company of Heroes: Opposing Fronts,87,457,2384453
9350,9350,Supreme Commander,86,782,829851
9420,9420,Supreme Commander: Forged Alliance,81,2834,905357
9460,9460,Frontlines(tm): Fuel of War(tm),73,438,219165
9480,9480,Saints Row 2,72,6867,2305360
9500,9500,Gish,80,219,307943
9710,9710,Desperados 2: Coopers Revenge,66,0,64745
9730,9730,Tycoon City: New York,67,0,24392
9760,9760,Act of War: High Treason,74,0,27440
9800,9800,Death to Spies,69,450,81066
9870,9870,Ghostbusters: The Videogame,74,1518,229747
9880,9880,Champions Online,72,2160,777480
9900,9900,Star Trek Online,76,7304,1604461
9930,9930,Test Drive Unlimited 2,72,5972,419499
9940,9940,Blade Kitten,52,670,64387
9980,9980,The UnderGarden,67,0,26185
9990,9990,Ghostbusters: Sanctum of Slime,43,105,20805
10090,10090,Call of Duty: World at War,83,13072,1526265
10130,10130,TimeShift(tm),71,571,113349
10150,10150,Prototype(tm),79,2122,482271
10180,10180,Call of Duty(r): Modern Warfare(r) 2,86,22223,5137828
10220,10220,Postal III,24,1045,74251
10460,10460,The Club(tm),67,0,26364
10500,10500,Empire: Total War(tm),90,11234,3604030
10530,10530,Space Siege,60,0,48604
10680,10680,Aliens vs. Predator(tm),68,7194,1099413
11040,11040,Sherlock Holmes - Nemesis,71,0,86985
11050,11050,Dracula Origin,70,109,46810
11130,11130,Sherlock Holmes: The Mystery of the Mummy,61,125,122854
11140,11140,Sherlock Holmes: The Awakened - Remastered Edition,72,131,96669
11150,11150,Sherlock Holmes: The Silver Earring,68,0,83398
11190,11190,Sherlock Holmes versus Jack the Ripper,73,257,99898
11200,11200,Shadowgrounds Survivor,79,465,501103
11250,11250,Pacific Storm,67,0,49500
11260,11260,Pacific Storm Allies,60,0,55419
11340,11340,Larva Mortus,64,619,143300
11370,11370,Nikopol: Secrets of the Immortals,68,236,159621
11450,11450,Overlord(tm),81,2050,1184604
11480,11480,Soldiers: Heroes of World War II,77,166,65283
11560,11560,Maelstrom: The Battle for Earth Begins,58,0,34076
11590,11590,Hospital Tycoon,51,349,208046
11900,11900,LUMINES(tm),74,0,26006
12100,12100,Grand Theft Auto III,93,2768,1579711
12110,12110,Grand Theft Auto: Vice City,94,4866,1830263
12120,12120,Grand Theft Auto: San Andreas,93,14209,2796598
12130,12130,Manhunt,75,555,114784
12140,12140,Max Payne,89,2214,549527
12150,12150,Max Payne 2: The Fall of Max Payne,86,1404,565848
12160,12160,Midnight Club 2,81,384,212888
12200,12200,Bully: Scholarship Edition,72,5797,838101
12210,12210,Grand Theft Auto IV,90,36012,4174362
